# This MVPS HOSTS file is a free download from:           #
# http://www.mvps.org/winhelp2002/                        #
#                                                         #
# Notes: the browser does not read this "#" symbol        #
# You can create your own notes, after the # symbol       #
# This *must* be the first line: 127.0.0.1     localhost  #
# ********************************************************#
# ------------------Updated: 04-15-05---------------------#
# ********************************************************#
# Entries marked with Parasite or Trojan comments should  #
# be placed in the Internet Explorer Restricted Zone.     #
# http://mvps.org/winhelp2002/restricted.htm              #
#                                                         #
# Entries with other comments are searchable via Google.  #
#                                                         #
# Disclaimer: this file is free to use, however it is NOT #
# permitted to post on any other site without permission. #
#                                                         #
# This work is licensed under the Creative Commons        #
# Attribution-NonCommercial-ShareAlike License.           #
# http://creativecommons.org/licenses/by-nc-sa/2.0/       #

127.0.0.1  localhost
127.0.0.1  trafficmp.com
127.0.0.1  advertising.com
127.0.0.1  servedby.advertising.com
127.0.0.1  atdmt.com
127.0.0.1  view.atdmt.com
127.0.0.1  spe.atdmt.com
127.0.0.1  e1.cdn.qnsr.com

#start of lines added by WinHelp2002
# [Misc Add-ons][A - Z]
127.0.0.1  acestats.com
127.0.0.1  www.acestats.com
127.0.0.1  www.activesearch.com #[Adware.ActiveSearch]
127.0.0.1  actualnames.com #[Parasite.ActualNames][Spyware.ActualNames]
127.0.0.1  www.actualnames.com
127.0.0.1  ad-up.com
127.0.0.1  www.ad-up.com
127.0.0.1  adatom.com
127.0.0.1  aesp.adatom.com
127.0.0.1  adbest.com #[IE-SpyAd]
127.0.0.1  www.adcipta.net #[W32/Malware]
127.0.0.1  adserv.adbonus.com #[IE-SpyAd]
127.0.0.1  www.adbonus.com
127.0.0.1  media.adcentriconline.com #[IE-SpyAd]
127.0.0.1  ad2.adcept.net
127.0.0.1  ad3.adcept.net
127.0.0.1  www.adcept.net #[IE-SpyAd]
127.0.0.1  adcomplete.com #[IE-SpyAd]
127.0.0.1  www.adcomplete.com
127.0.0.1  www.adcopy.info
127.0.0.1  ads.adcorps.com
127.0.0.1  ads.addynamix.com #[IE-SpyAd]
127.0.0.1  pt.server1.adexit.com
127.0.0.1  www.adexit.com #[IE-SpyAd]
127.0.0.1  www.ad4ever.com #[IE-SpyAd]
127.0.0.1  adhearus.com
127.0.0.1  ads.adhearus.com
127.0.0.1  display2.adhearus.com
127.0.0.1  display3.adhearus.com
127.0.0.1  ssl3.adhost.com #[IE-SpyAd]
127.0.0.1  www2.adhost.com
127.0.0.1  www.addme.com #[IE-SpyAd]
127.0.0.1  www.adinfinity.com #[IE-SpyAd]
127.0.0.1  adsvr.adknowledge.com #[IE-SpyAd]
127.0.0.1  web.adknowledge.com
127.0.0.1  te.adlandpro.com #[IE-SpyAd]
